text,emotion,prediction
im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,sadness,surprise
i cant do strappy shoes at work i just feel weird so i took these off thrifted ninewest,fear,surprise
i have moments where i just feel so overwhelmed that my eyes well up with tears,fear,surprise
i feel quite helpless in all of this so prayer is the most effective tool i have because i have no answers and there is nothing else i can offer them right now,sadness,joy
i was feeling whether it be mad sad disappointed or peaceful,anger,sadness
i believe that people should choose the causes they feel passionate about and do what they can and i have no right or desire to push my own charities as more worthy than another,joy,love
i never feel like im not supporting,joy,love
when we rearranged furniture in our flat and got stuck in a chair,anger,sadness
i am feeling stressed and more than a bit anxious,anger,fear
i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy,joy,fear
i watched the news at the tv,anger,joy
i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,love,joy
i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm,sadness,anger
i feel like alcoholism is something that is widely accepted as the norm in gay culture,joy,love
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,joy,love
i feel accepted and loved by a community of derby girls that i helped to create,joy,love
i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who im afraid i got really disgusted with,sadness,anger
i am feeling overwhelmed by trying to do it all that i think on the women before me,surprise,fear
i have made about sex i feel that women enjoy sex when their body and emotions are admired and respected,love,joy
i feel so blessed to be married to him because he loves his stepchildren,joy,love
i feel more faithful than ever,joy,love
i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden we were not going to the same town in england as soon as i walked in he called from england as he could not wait till he came home,joy,fear
i was playing a sport in an advanced pe class and many of the people were not advanced,anger,joy
i feel thats just strange on wotcs behalf,surprise,fear
i feel hated in cempaka,sadness,anger
i can say is that as long as you enjoy the story it entertains you and makes you feel emotional whether it be sad happy angry disgusted or just plain horny then who really gives a damn,sadness,anger
told by some people the class leader only choose his friends not true,anger,fear
i think your viewers tonight will enjoy the show coming from malm they will like some things be less fond of other things but hopefully they will feel entertained and smitten and feel the urge to cast a vote regardless if your country is voting tonight or not,joy,love
i can put on it without words since i just cant type on that it was so lovely this morning yes im feeling sarcastic today,anger,love
i lift different now because it hurt so bad the day it happened that i can t get it out of my mind and i feel myself being a bit timid,fear,sadness
i couldnt feel more blessed at this time,joy,love
i sit in the same hostel i did nearly two months ago this time wearing a jacket and feeling as if my toes might be a little numb from the cold,sadness,anger
i notice how different this question is from why i am feeling so agitated,fear,anger
i feel very strongly about supporting charities that help children,joy,love
i also feel the need to say thank you to the boy who helped me realize the above for showing me an absolutely splendid and hot night,joy,love
i cant help but think if id just shut up if id just not made a big deal of what was essentially two adults meeting at the same table for a hot beverage then perhaps i wouldnt have spent the bulk of the weekend feeling like a stupid shit,sadness,love
i did not feel any passionate joy,joy,love
i have nostalgic feelings i have met wonderful people online and the online internet is for me like my second life,joy,love
im much more peaceful and happy when the house is clean the food is good and my kids arent feeling needy,sadness,joy
whenever i put myself in others shoes and try to make the person happy,anger,joy
i don t know how i feel i guess it s one of those moments where you want to feel like you re accepted even though whatever you did or did not get mattered to you the most,love,joy
i think and it feels a little weird,fear,surprise
i did feel rather like a celebrity and widget stood and let herself be admired while she drank orange squash from my cup,joy,love
i feel assaulted by this shit storm of confusion anger and hurt feelings that tsunami d us both away from each other,fear,sadness
i was truly surprised and feel quite honored,joy,surprise
i feel like if people accepted that wed get along a lot better,love,joy
i feel respected and secure where i can journey toward loving and be loved in return,joy,love
im feeling relieved yet painful but something inside me is creepily numb i feel like a ghost in the hallways the way i used to just dont tell me its only another time to succumb,joy,sadness
i understand that they are reacting to what we re doing i think they re observing us closely and i become happier i can actual feel that they re supporting us,love,joy
i feel so blessed to have friends i can come to,joy,love
i really wish i had more time to explore twitter as i feel like i lost a lot of time learning how to use the site,sadness,joy
i felt really bad because claudia and i have always had an amazing time in la and i could feel that she was disappointed that this trip was not turning out to be as fun and amazing as it could have been,sadness,surprise
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,joy,love
i was lying in bed last night after a day of making experiments from the usual suspects fabric plastic and feeling agitated that my issues with proper presentation had not made any headway over the course of a mere six hours,anger,fear
i found myself being amazed at how mid s f would feel a tad cool as if perhaps a sweatshirt wouldve been a good idea,joy,surprise
i feel fake because i think if you really want to have a good conversation and make good contact you have to appear especially self confident and even risk talking to some people which are no good to talk to at all until you meet one person which you have a good connection to,sadness,joy
i do feel terribly remourseful that i didnt stay faithful to my plans and get him sooner,love,joy
i chant the invocation and feel his force supporting me as i teach,joy,love
i grew up around this feeling living only minutes away from the gorgeous atlantic ocean in brazil so its probably no surprise i grew fond of the ocean,joy,love
i started walking again yesterday and it feels amazing,joy,surprise
i know is that she s here and i m so thankful for her warm loving and peaceful presence i feel when my anger or feelings of discontent and frustration flare up,sadness,love
i have not conducted a survey but it is quite likely that many of them feel as assaulted by onel s demons and other creators as i would have felt had the walls been covered only with eminent figures patriotic heroes and epic deeds,sadness,fear
i am feeling contented and pissed at the same time,joy,anger
i ran errands to buy cora a few newborn sized sleepers i had not previously made any newborn sized babies and went out to lunch to celebrate how great i was feeling i feel amazing no pain no pain meds and moving around almost completely normally at days out,surprise,joy
i know how that feels weird right,fear,surprise
i left the theater i ran my hand sadly over the plush red backs of the seats in front of me feeling almost mournful that i wasnt going to be back for a long time,sadness,love
i asked some girls what it meant to them to be valued and for the most part the response was that they felt valued when the people around them made them feel valued and treated them in a loving and caring manner,joy,love
i feel shame in a strange way,surprise,fear
i feel for all of you who have been supporting me is so extreme there would be no way to put a number value on it,joy,love
i don t know if it s mostly because he s forcing himself to be distracted or if he s feeling more determined or what but i think that though he s still hurting he is learning to cope with it kame takes a breath,joy,anger
i feel so greedy so needy so helpless,anger,sadness
when i heard the last regulation of the socialist govrenment concerning pensions,sadness,anger
i feel that passionate about,joy,love
i felt this emotion when my name was announced on the radio that i had been selected to come to lilongwe school for health sciences to take a training course as a medical assistat,joy,fear
i would always have this song stuck in my head after a bombing or incident and then i would feel a bit weird about it because if you dont really pay attention to the lyrics it sounds like such a happy song not the type youre supposed to hum on difficult days,fear,surprise
i am on so many social networks right now and sometimes i feel like that i am pretty talked out,joy,sadness
i felt confused me sometimes that makes me feel useless,sadness,fear
i noticed that i was feeling very stressed and anxious and i just couldnt quite put my finger on why,anger,fear
ive come to feel about a supporting character in one of my all time favorite films giant,joy,love
i have to keep fighting for my life until i truly run out of fight and i ve been close enough to that twice to know a bit about what it feels like and we re not there yet no matter how despairing all this feels,sadness,joy
i stay the more distanced from others i feel it is strange because i sometimes feel like a new friendship is growing or forming,surprise,fear
i first started reading city of dark magic i thought it would be a challenge to actually enjoy it since i felt like the content about famous classical music was over my head but luckily after plowing through the first chapter i became more confident and started feeling less dumb,sadness,joy
im not constantly horny or always feeling playful,joy,love
at a party i met a girl who drew me to her,anger,fear
i that it feels like she is being tortured,fear,anger
i know it can take weeks for a book to go free on amazon and barnes amp noble and in this age where cents can buy a full length ebook i feel a little funny charging even cents for a work that is almost certain to be under pages possibly under,surprise,joy
ive blogged and i feel strange about it,surprise,fear
i feel like a greedy pig catching up to do lt bc afterward yay im gna get my delicious chocolates and in exchange zjs gna get bai tu tang from me,anger,joy
i started to feel so overwhelmed,fear,surprise
i don t really know the oldest one very well and his mothering mother seems to feel that he is not sweet,joy,love
i only talk about how people make me feel and the only people i talk about are the ones that make me feel unhappy upset nervous or angry,sadness,fear
im feeling so embarrassed frightened that i wouldve smashed the window and slid in dukes of hazzard style if it would get garage man to stop glaring at me,sadness,fear
i can begin to see a first step and suddenly life does not feel so despairing,sadness,joy
i feel his gracious presence even now,joy,love
i was like should i feel sweet or feel offended,love,anger
i cannot even begin to express in words the depth of sorrow that i feel having not posted any of my ludicrous rants over the passed days,surprise,sadness
this monday i took a math bs test and flunked for the second time,sadness,joy
im not sure but theres nothing that will get a person feeling amorous faster than a stay in a hotel,love,joy
i don t know about you but i m feeling amp blessed,joy,love
i guess no matter how much i think im feeling ok im as nervous as hell on the inside about the scan revealing something i dont want to know again,joy,fear
i feel so weird but i guess kind of happy,fear,surprise
im feeling generous so there you go with that golden nugget,joy,love
i wanted to skate fast wanted to try everything just to see the difference in feel which was amazing,surprise,joy
im feeling generous this week,joy,love
i seek out pain to feel tortured just to feel something,fear,anger
i already feel he is using us it feels weird because i havent even done anything there yet but i feel it coming like ministry coming at me,fear,surprise
i feel the need to explain myself and my thoughts in ways that are clever funny or maybe even insightful,joy,surprise
i decide that picking the easy route would get me nowhere and i feel like other people want me tortured so i follow the blue path,fear,anger
i could have expected in every way and i was feeling a bit overwhelmed at that point how quickly life changed in the past weeks,fear,surprise
i like the fresh feeling of sweet he gave me,joy,love
i don t know about you but it makes me feel generous,joy,love
i feel helpless to regain a safe feeling,sadness,joy
i cant do a simple math question and guess what i broke down in front of my tuition teacher whom i have known for almost years now feeling pressured and i feel so bad bout myself,fear,sadness
i have to be honest and say that the first two chapters sort of overwhelmed me and i wasnt sure that i was going to be able to follow everything and was feeling kind of dumb,sadness,surprise
i am not feeling so generous and he is sent to the sofa where he glares at me for the next six hours,joy,love
i firmly believe that the only way to go about this craft is to write the book that you feel passionate about and not to worry about finding the book that the mass audience desires,joy,love
i feel as though i have merely accepted what has been done and that no matter what time has gone by it will always be with me,joy,love
i feel its sad but im okay with it im happy i had done it even though it hurts a little,sadness,joy
i felt it had a slight bitterness in the finish that detracted from its oily mouthfeel and sweet entry,joy,love
i wont lie this week has been abit of a difficult week for me ive been feeling very stressed and anxious this week plus i think im coming down with the flu but it has definately helped me to appreciate the little things,anger,sadness
i feel i can only hope im not alone in these thoughts and im sure to all you fellow exchange students you probably have the same thoughts in mind with at least some of this listed some might say being an exchange student is unlike any other experience,sadness,joy
im afraid to call the guy from yesterday because i think hell be angry because i think my boss is angry because i dont communicate with him and i feel like im doing a shitty job and i project my fears onto him,sadness,anger
i feel groggy and out of sorts from my episode not counting the fact that i got scared last night,sadness,fear
i am again not inspired and after looking at ideas and images i feel that i dont appreciate them anymore they become useless and purely skill driven having nothing to do with thought,sadness,joy
i become someone else and i make random awkward jokes honestly this feeling is so strange is this what it feels like to be on top of a cloud,fear,sadness
i feel like that im hated by most of the girls is it becoz im a good dancer,sadness,anger
i work well with almost every client ive ever been in contact with because i know what it means to feel depressed angry frustrated irritated hopeless and apathetic because i feel it daily,sadness,anger
i just tell people i feel like one sweet southern mess right now,joy,love
i started questioning god feeling worthless and even jealous of others that come by parenthood so easily,sadness,anger
i felt like id developed feelings for this guy thus explaining why id even follow this guy like a faithful puppy dog and he never knew,joy,love
i was stressed about my job search and apartment hunting and i was just feeling overwhelmed with everything that was going on,fear,surprise
im happy to report im still not feeling terribly stressed,sadness,anger
i did feel slightly weird in that costume,fear,surprise
i didnt want to be spending my days working in a job that i didnt enjoy or to come home feeling stressed and tired and not be able to give my daughter the attention she deserved,anger,sadness
i have noticed my fingers and toes get very cold and almost feel numb,sadness,anger
i don t know how else to describe it except to say that i had the same feeling about three weeks before my beloved grandmother passed away,joy,love
i don t care if any of you read this but this is just what i feel when i m around you guys i feel hated,sadness,anger
im okay with her getting married whirlwind style at the courthouse and going off to kentucky to live with him but im still feeling hurt by the betrayal and secretive style she had adopted,sadness,joy
i feel truly heartbroken that hyun joongs fans can be so hateful,sadness,anger
i also know that if today i refuse to hate jews or anybody else it is because i know how it feels to be hated,sadness,anger
i hate these feelings in my heart i hate that work stressed me out i hate that cornelius wont let me get my way im frustrated lord,sadness,anger
i feel so amazing musicjuzz,joy,surprise
i must add the crowd was similar to last night except it had a much more laid back stoner feel with supporting cast of parents escaped from their kids,love,joy
i feel so dirty but after spending a day at the mk show me and a buddy decided we would get the two player starter between us luckily for us both i liked the everblight and he liked the circle maybe a tad to much so it all worked out well,sadness,love
i need a break or im feeling stressed out,anger,sadness
i feel watching him grow into a self assured life loving boy,joy,love
i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,joy,love
ive got a off sale the ad says starting tomorrow but im feeling generous and started it now,love,joy
i never dreamed i would be so busy so soon in the new year but i am loving it and feeling so very gracious and fortunate,joy,love
i am still feeling a tad strange in those pearly whites,surprise,fear
i feel inside cause life is like a game sometimes but then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up youve made me trust,fear,sadness
ive started feeling like almost nothing is worth getting agitated about,fear,anger
i didn t mean to get angry with you bommie i just can t control my feelings hellip i just hated myself why i am like this the dara who can t get over with that b,sadness,anger
im feeling good these days and my only complaints are that its getting harder and harder to move around and chase after stone and its getting harder and harder to find clothes that fit,joy,fear
i check you when you re sleeping feel your nose and toes to be sure you aren t too hot or cold,joy,love
i see how it turns out i ll talk more about it right now i m feeling proud and scared and a little sick i think that s adrenaline though,joy,fear
i was feeling playful that day and replied with a lighthearted bit of banter unwittingly replacing her question mark with a solid check mark my voice was just right for the funny yet informational for dummies series,joy,surprise
i have no strong feelings for this book neither hated nor loved it,anger,love
im feeling scared and the rage filled im mad at me,fear,anger
i feel tortured delilahlwl am considering i had one the other day about one of my closest friends raping and killing chicks,anger,fear
